,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag
1115,TOI-1136 f,TOI-1136,1,0.174,0.002,-0.002,9.7,3.9,-3.7,6,0.006500000000000001,0.01,-0.005350000000000001,89.34,0.31,-0.28500000000000003,,,,0
1116,TOI-1136 g,TOI-1136,1,0.229,0.003,-0.003,5.6,4.1,-3.2,6,0.038,0.018,-0.013999999999999999,89.575,0.24,-0.215,,,,0
1124,TOI-2202 c,TOI-2202,1,0.15544,0.00255,-0.00263,117.27868,32.73633,-26.57045,2,0.0622,0.0452,-0.0211,84.7,2.4,-2.9,,,,0
1136,Kepler-347 c,Kepler-347,1,0.182,0.0,0.0,4.067190903258479,2.648130544381778,-2.0801006135101616,3,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
1142,GJ 357 d,GJ 357,1,0.204,0.015,-0.015,6.1,1.0,-1.0,3,0.20543615100312596,0.0,0.0,90.0,0.0,0.0,,,,013
1164,HD 191939 b,HD 191939,1,0.0804,0.0025,-0.0023,10.2,0.8,-0.8,6,0.0155,0.01,-0.011,88.14,0.175,-0.155,,,,0
1165,HD 191939 c,HD 191939,1,0.1752,0.0055,-0.005,7.6,1.2,-1.2,6,0.017,0.034,-0.013,89.112,0.0755,-0.0885,,,,0
1166,HD 191939 d,HD 191939,1,0.2132,0.0065,-0.0061,4.3,0.6,-0.6,6,0.0155,0.018,-0.012,89.49,0.05,-0.08,,,,0
1167,HD 191939 e,HD 191939,1,0.402,0.0085,-0.0085,110.1,3.5,-3.5,6,0.0155,0.008,-0.016,88.7,0.7,-0.7,,,,0
1178,HAT-P-11 c,HAT-P-11,1,4.13,0.29,-0.16,619.0045,126.2405,-92.9575,2,0.6025,0.031,-0.0305,135.7,12.1,-21.4,,,,0
1179,HAT-P-11 b,HAT-P-11,1,0.053,0.00062,-0.00066,25.743,2.76512,-2.76512,2,0.099,0.05,-0.05,89.82,0.6,-0.6,106.0,15.0,-11.0,0
1187,HD 5278 c,HD 5278,1,0.2416,0.0027,-0.0027,18.4,1.8,-1.9,2,0.07,0.08,-0.04,90.0,0.0,0.0,,,,03
1192,L 98-59 b,L 98-59,1,0.02282,0.0008,-0.00084,0.7050000000000001,0.16,-0.15,4,0.103,0.117,-0.045,87.71,1.16,-0.44,,,,0
1195,HAT-P-44 c,HAT-P-44,1,1.752,0.025,-0.025,1271.3,444.9,-254.3,2,0.494,0.081,-0.081,90.0,0.0,0.0,,,,03
1209,K2-19 d,K2-19,1,0.035199999999999995,0.0009,-0.0009,12.0,0.0,0.0,3,0.0,0.0,0.0,86.552,2.489,-4.74,,,,01+1-2+2-
1210,K2-198 c,K2-198,1,,,,3.0455623555095106,0.6393784051075388,-0.7232116411978597,3,0.20543615100312596,0.0,0.0,86.494,0.268,-0.088,,,,012
1216,Kepler-68 d,Kepler-68,1,1.461594,0.02,-0.02,244.7291,9.81985,-9.81985,4,0.146,0.026435,-0.025935,90.0,0.0,0.0,,,,03
1217,Kepler-68 e,Kepler-68,1,4.9897345,0.32,-0.16,125.220865,27.630195,-27.630195,4,0.3118165,0.11751,-0.11751,90.0,0.0,0.0,,,,03
1218,Kepler-68 c,Kepler-68,1,0.090645,0.000725,-0.000725,2.66953,1.88907,-1.88907,4,0.0,0.41,-0.1,88.51,0.2485,-0.252,,,,0
1219,TOI-5398 b,TOI-5398,1,0.098,0.005,-0.005,58.7,5.7,-5.6,2,0.13,0.0,0.0,89.21,0.31,-0.21,,,,01+1-
1229,TOI-1386 c,TOI-1386,1,0.739,0.015,-0.016,98.20898,12.07748,-12.07748,2,0.27,0.13,-0.13,90.0,0.0,0.0,,,,03
1237,HD 215497 c,HD 215497,1,1.296,0.02,-0.02,107.76997,6.35657,-6.35657,2,0.48,0.035,-0.04,90.0,,,,,,0
1245,Kepler-138 b,Kepler-138,1,0.0748,0.00195,-0.00195,0.1285,0.0545,-0.0435,4,0.0,0.009,-0.0044,89.91,0.125,-0.11499999999999999,,,,0
1263,Kepler-138 c,Kepler-138,1,0.09054999999999999,0.00324,-0.00324,2.3,1.51,-1.12,4,0.0,0.0285,-0.0085,89.21,0.11,-0.1,,,,0
1279,Kepler-138 d,Kepler-138,1,0.127755,0.00456,-0.00456,1.0899999999999999,0.51,-0.36350000000000005,4,0.0,0.017499999999999998,-0.0075,88.81,0.061,-0.061,,,,0
1281,K2-3 c,K2-3,1,0.1399,0.0052499999999999995,-0.0052499999999999995,2.89,1.2,-1.2,3,0.04,0.056499999999999995,-0.037500000000000006,89.77000000000001,0.155,-0.17,,,,0
1282,K2-3 d,K2-3,1,0.2076,0.0086,-0.0086,2.500035,3.25,-3.25,3,0.045,0.08249999999999999,-0.0545,89.788,0.135,-0.13,,,,0
1283,HD 142 A d,HD 142,1,0.474,0.021,-0.023,82.63539,10.17051,-11.44182,3,0.13,0.103,-0.085,90.374,10.495,-12.319,,,,03
1284,HD 142 b,HD 142,1,1.0295,0.0535,-0.055999999999999994,397.11884,52.44,-52.44,3,0.21500000000000002,0.08,-0.08,90.374,10.495,-12.319,,,,03
1285,HD 142 c,HD 142,1,8.3055,0.5075000000000001,-0.51,2574.52373,314.34235,-260.15261,3,0.2435,0.048,-0.0485,90.374,10.495,-12.319,,,,0
1286,HD 151450 c,HD 151450,1,14.131,2.742,-2.52,1636.18064,375.03752,-336.26245,2,0.138,0.108,-0.08,42.369,11.085,-8.858,,,,0
1287,HD 153557 c,HD 153557,1,0.111,0.004,-0.004,17.48056,1.58914,-1.90697,3,0.511,0.037,-0.029,14.324,0.964,-0.935,,,,03
1288,HD 155918 c,HD 155918,1,13.183,1.17,-1.179,1878.04806,207.54195,-243.45656,2,0.071,0.051,-0.053,31.771,2.806,-2.131,,,,0
1289,HD 156279 b,HD 156279,1,0.4985,0.013500000000000002,-0.013500000000000002,3052.684935,214.65134999999998,-214.65134999999998,2,0.6778949999999999,0.009399999999999999,-0.009349999999999999,90.0,0.0,0.0,,,,03
1290,HD 156279 c,HD 156279,1,5.4735,0.155,-0.16749999999999998,3003.47845,158.915,-174.8065,2,0.2597,0.006,-0.006,74.699,36.999,-10.533,,,,0
1291,HD 168443 c,HD 168443,1,2.8615,0.08,-0.08499999999999999,5572.48546,340.05,-245.67627,2,0.21175,0.0018549999999999999,-0.0018549999999999999,91.218,22.283,-16.088,,,,0
1292,HD 18143 c,HD 18143,1,17.53,6.587,-3.447,3177.64841,623.26151,-594.65695,2,0.194,0.021,-0.097,35.98,2.853,-1.948,,,,0
1293,HD 25912 c,HD 25912,1,17.848,1.147,-1.484,5252.75008,437.33189,-444.64194,2,0.051,0.048,-0.025,88.333,7.701,-5.134,,,,0
1294,HD 27894 b,HD 27894,1,0.125,0.00255,-0.00255,201.025,9.375945,-9.058115,3,0.047799999999999995,0.0103,-0.0083,101.524,14.742,-31.503,,,,03
1295,HD 28185 b,HD 28185,1,1.0335,0.0195,-0.0195,1865.180705,90.5796,-90.5796,2,0.05895,0.0245,-0.0245,57.65,8.146,-5.747,,,,03
1296,HD 38529 b,HD 38529,1,0.131,0.0054,-0.0054,266.64813,13.348365000000001,-13.825109999999999,2,0.257,0.017,-0.017,104.559,6.393,-8.722,,,,03
